fecha,any,mes,n_resolts,total,valoracio,sol_grau,tram_grau,val_grau,pia,capecon,creacio_pia,res_pia
2022-01-01,2022,gener,76,82.0,62.0,7.0,5.0,50.0,20.0,15.0,0.0,5.0
2022-02-01,2022,febrer,170,147.0,97.0,13.0,13.0,72.0,36.0,34.0,0.0,2.0
2022-03-01,2022,març,408,189.5,127.0,12.0,12.0,104.5,57.0,43.5,3.5,2.0
2022-04-01,2022,abril,428,185.5,120.5,14.0,11.0,91.0,64.5,47.0,15.0,5.0
2022-05-01,2022,maig,562,201.0,127.5,13.0,11.0,87.0,74.0,36.0,38.5,1.0
2022-06-01,2022,juny,747,237.0,139.0,12.0,10.0,104.0,95.0,36.0,59.0,2.0
2022-07-01,2022,juliol,718,265.0,133.0,12.5,11.0,99.0,125.0,37.5,86.0,1.0
2022-08-01,2022,agost,580,301.0,153.0,12.0,11.0,111.0,146.0,36.0,109.0,2.0
2022-09-01,2022,setembre,1022,304.0,138.0,13.0,10.0,103.0,169.0,34.0,133.0,2.0
2022-10-01,2022,octubre,1383,305.0,139.0,13.0,10.0,107.0,162.0,33.0,126.0,1.0
2022-11-01,2022,novembre,1770,291.0,138.0,13.0,9.0,102.0,153.0,33.0,122.0,2.0
2022-12-01,2022,desembre,1197,291.0,143.0,14.0,9.0,106.0,141.0,29.0,105.0,2.0
2023-01-01,2023,gener,1067,311.0,145.0,14.0,9.0,107.0,160.0,28.0,115.0,2.0
2023-02-01,2023,febrer,652,307.5,148.5,14.0,9.0,113.0,148.0,27.0,113.5,2.0
2023-03-01,2023,març,2729,319.0,158.0,15.0,10.0,121.5,145.0,20.0,114.0,10.0
2023-04-01,2023,abril,1621,300.0,152.0,19.0,10.0,109.0,141.0,16.0,116.0,1.0
2023-05-01,2023,maig,1768,324.0,160.0,20.0,10.0,113.0,146.0,14.0,124.0,2.0
2023-06-01,2023,juny,1819,285.0,158.0,23.0,10.0,111.0,116.0,14.0,97.0,2.0
2023-07-01,2023,juliol,1222,293.0,152.0,23.0,11.0,106.0,125.0,13.0,109.0,2.0
2023-08-01,2023,agost,1098,301.0,157.0,24.0,12.0,108.0,134.0,14.0,113.0,2.0
2023-09-01,2023,setembre,955,328.0,161.0,25.0,13.0,107.0,167.0,14.0,144.0,2.0
2023-10-01,2023,octubre,1617,314.0,158.0,25.0,16.0,102.0,146.0,14.0,127.0,4.0
2023-11-01,2023,novembre,4158,333.0,156.0,25.0,17.0,98.0,174.0,14.0,148.0,2.0
2023-12-01,2023,desembre,1832,317.0,151.0,25.0,19.0,90.0,162.0,14.0,139.0,2.0
2024-01-01,2024,gener,2151,323.0,159.0,26.0,18.0,105.0,146.0,15.0,115.0,2.0
2024-02-01,2024,febrer,2777,344.5,158.0,26.0,16.5,101.5,168.0,14.0,145.5,2.0
2024-03-01,2024,març,1750,343.0,161.0,26.0,18.0,101.0,180.0,14.0,145.0,2.5
2024-04-01,2024,abril,5652,337.0,169.0,25.0,18.0,114.0,167.0,14.0,135.0,2.0
2024-05-01,2024,maig,2298,363.5,163.0,25.0,18.0,107.5,200.0,13.0,173.0,2.0
2024-06-01,2024,juny,1731,376.5,171.5,25.0,18.0,121.0,198.5,14.5,153.5,2.0
2024-07-01,2024,juliol,2316,351.0,160.0,24.0,16.0,109.5,174.0,18.5,145.5,2.0
2024-08-01,2024,agost,1716,337.0,159.5,23.0,15.0,118.5,172.0,26.0,138.5,2.0
2024-09-01,2024,setembre,1285,355.0,164.0,24.0,14.0,111.0,197.0,22.0,153.0,2.0
2024-10-01,2024,octubre,2494,338.0,162.5,21.0,11.0,121.0,168.0,32.0,114.0,1.0
2024-11-01,2024,novembre,1718,345.5,167.0,21.0,10.0,125.5,174.0,38.0,110.5,1.0
2024-12-01,2024,desembre,1857,331.0,167.0,21.0,8.0,125.0,172.0,48.0,95.0,4.0
2025-01-01,2025,gener,1326,349.0,166.0,20.0,8.0,123.0,193.0,33.0,118.0,2.0
2025-02-01,2025,febrer,1967,336.0,169.0,20.0,8.0,133.0,146.0,40.0,88.0,1.0
2025-03-01,2025,març,1464,343.0,174.0,20.0,8.0,134.5,153.0,32.0,106.5,1.0
2025-04-01,2025,abril,2169,350.0,174.0,20.0,8.0,135.0,160.0,40.0,95.0,4.0
2025-05-01,2025,maig,2237,369.5,169.5,21.0,8.0,125.5,163.5,46.0,98.5,1.0
2025-06-01,2025,juny,1630,357.5,174.0,21.0,8.0,133.5,130.0,41.0,74.0,1.0
2025-07-01,2025,juliol,2297,369.5,172.5,23.0,8.0,131.0,169.0,52.5,81.0,1.0
2025-08-01,2025,agost,1319,328.0,163.0,23.0,9.0,120.0,160.0,65.0,81.0,1.0
2025-09-01,2025,setembre,1805,351.0,159.0,24.0,10.0,111.0,172.0,65.0,98.0,2.0
2025-10-01,2025,octubre,1964,339.0,175.0,24.0,10.0,127.0,153.0,62.0,80.0,1.0
2025-11-01,2025,novembre,1912,352.0,170.0,24.0,11.0,129.0,165.0,60.5,96.5,2.0
2025-12-01,2025,desembre,1647,342.0,179.0,23.0,11.0,137.0,146.0,48.0,84.0,2.0
2026-01-01,2026,gener,1488,350.5,182.0,24.0,11.0,140.0,139.0,31.5,100.0,1.0
2026-02-01,2026,febrer,1684,348.0,174.5,23.0,12.0,134.5,148.0,19.0,117.0,2.0
2026-03-01,2026,març,2377,358.0,184.5,22.0,12.0,147.0,151.0,17.0,125.5,1.0
