fecha,any,mes,n_resolts,total,valoracio,sol_grau,tram_grau,val_grau,pia,capecon,creacio_pia,res_pia
2022-01-01,2022,gener,8,299.0,295.0,26.0,269.0,0.0,4.0,0.0,0.0,4.0
2022-02-01,2022,febrer,48,135.75,97.25,13.0,11.75,72.5,38.5,32.0,4.0,2.5
2022-03-01,2022,març,91,199.347826086957,135.478260869565,24.3478260869565,19.3913043478261,91.7391304347826,63.8695652173913,41.9565217391304,19.3913043478261,2.52173913043478
2022-04-01,2022,abril,114,200.301886792453,128.283018867925,14.5094339622642,16.1698113207547,97.6037735849057,72.0188679245283,36.6603773584906,31.4905660377358,3.86792452830189
2022-05-01,2022,maig,265,232.309782608696,138.864130434783,15.8423913043478,17.554347826087,105.467391304348,93.445652173913,35.7173913043478,55.375,2.35326086956522
2022-06-01,2022,juny,391,251.642599277978,137.675090252708,15.3140794223827,14.5884476534296,107.772563176895,113.967509025271,42.8953068592058,68.4368231046931,2.63537906137184
2022-07-01,2022,juliol,505,277.815104166667,143.010416666667,14.8671875,18.4166666666667,109.7265625,134.8046875,50.4401041666667,82.015625,2.34895833333333
2022-08-01,2022,agost,598,320.764948453608,154.115463917526,14.4185567010309,19.3484536082474,120.348453608247,166.649484536082,59.4329896907216,104.540206185567,2.67628865979381
2022-09-01,2022,setembre,1443,330.013961605585,146.940663176265,14.4886561954625,15.9895287958115,116.462478184991,183.073298429319,49.196335078534,131.356893542757,2.52006980802792
2022-10-01,2022,octubre,1811,333.014179104478,142.944029850746,14.6141791044776,17.5664179104478,110.763432835821,190.070149253731,46.5328358208955,140.85671641791,2.68059701492537
2022-11-01,2022,novembre,2593,333.979473684211,139.540526315789,15.7084210526316,14.7094736842105,109.122631578947,194.438947368421,44.1436842105263,147.371052631579,2.92421052631579
2022-12-01,2022,desembre,1798,336.199343724364,136.835931091058,14.7095980311731,14.1525840853158,108.013125512715,199.363412633306,43.3035274815422,153.45118949959,2.60869565217391
2023-01-01,2023,gener,2040,351.85651214128,143.263428991906,15.1788079470199,14.8197203826343,113.264900662252,208.593083149375,40.3745401030169,165.393671817513,2.82560706401766
2023-02-01,2023,febrer,1030,340.892857142857,143.71978021978,15.2197802197802,14.0631868131868,114.42032967033,197.173076923077,37.9519230769231,156.237637362637,2.98351648351648
2023-03-01,2023,març,4572,350.689352002605,151.565288179746,17.0371214588082,13.9426896776294,120.587430804298,199.124063822859,34.8756105503093,155.258873331162,8.98957994138717
2023-04-01,2023,abril,2762,354.180092059839,155.97583429229,18.5115074798619,14.5,122.964326812428,198.204257767549,30.1760644418872,165.742807825086,2.28538550057537
2023-05-01,2023,maig,3454,361.178114637613,158.19043107532,19.5423969682615,14.7655139744197,123.882520132639,202.987683562293,27.7119848413074,172.532449076267,2.74324964471814
2023-06-01,2023,juny,3280,344.948284435604,157.547488811537,21.9835902536052,15.5643958229736,120.000497265042,187.400795624068,26.5072103431129,158.190949776231,2.70263550472402
